lam,seed,init,r2,rho_pearson,rho_spearman,kl,entropia,tv,hoyer,best_epoch
0.1,0,zero,0.8107184111536285,0.8641524034612076,0.6995663780607393,0.8405923739713641,5.627165605904637,0.018968498493943897,0.012454896088038485,484
0.1,1,zero,0.8093525183924288,0.8652104060937836,0.6971871937895417,0.8320992815081669,5.6266453397091825,0.01943059680717332,0.013042871207719357,493
0.1,2,zero,0.7915015489217581,0.8604423174689563,0.6970205359541197,0.8791373573447635,5.629876468497396,0.016409024383340562,0.00942543669656728,410
0.1,3,zero,0.7755400473557069,0.8645666964501303,0.6979802552132743,0.9007618780021401,5.631215124768352,0.016731943083660942,0.00789409254618534,329
0.1,4,zero,0.7858977912355628,0.8689231643375003,0.694817204433402,0.8964580697271988,5.630982863493779,0.014642070872443062,0.008160158471385608,347
0.1,5,zero,0.8169153659176553,0.8680945380714399,0.6986062756801239,0.8344425030414514,5.627170963189942,0.019277158805302213,0.012504407946648149,486
0.1,6,zero,0.7969633661132676,0.8566560519828654,0.6944095631991742,0.8738847599647491,5.6295421871372255,0.01778007618018559,0.009808552868355162,387
0.1,7,zero,0.812950428585238,0.8592899948618161,0.6958960744668469,0.8443458153776526,5.627545902704477,0.019432351206030166,0.012054011195766667,483
0.1,8,zero,0.7791262695922753,0.8675189164511988,0.6949451670012893,0.9110744945646626,5.631710643214219,0.014481712132692337,0.0073400389971182345,284
0.1,9,zero,0.7964735675885409,0.8593174874431935,0.6950263887509662,0.883820195649342,5.630090022372469,0.017315852854933058,0.009175578459836947,377
0.15,0,zero,0.7611468027494133,0.8728127528642654,0.7036289980304299,0.8773151868956263,5.629427389917838,0.016701654025486536,0.009839857584915568,247
0.15,1,zero,0.8144459031364767,0.881241940875077,0.7032765262865488,0.7692539865477886,5.621340527780821,0.021893328960452763,0.018955726745461633,439
0.15,2,zero,0.7975671573154428,0.8798352666455207,0.7033554493074614,0.799559581154834,5.624182165437425,0.0196395035300936,0.01578686516402922,410
0.15,3,zero,0.7744310857283113,0.8863313658318094,0.7040695877102813,0.8334599392668277,5.626908647944614,0.019252555604491916,0.01268746539399629,325
0.15,4,zero,0.8074629561996647,0.8925910565499224,0.7045101773901328,0.751894576519812,5.620395416743429,0.020131630024739673,0.020049294849293523,496
0.15,5,zero,0.8031080961737055,0.8812574621745476,0.7042458235822219,0.7952953692929928,5.623947383751886,0.02072529484118734,0.016051602984441953,386
0.15,6,zero,0.8090273720840364,0.8829528827108672,0.7037856947078727,0.7565778134929844,5.620456838784884,0.023006851438965116,0.019979123052970678,469
0.15,7,zero,0.8099834971941906,0.8795823801054032,0.7043144023236944,0.7630995869836771,5.620855551039366,0.022702202200889587,0.019514634426138416,475
0.15,8,zero,0.7675893535731511,0.8849322195889667,0.7035213408999619,0.861469876912988,5.628694102929885,0.01658816880413464,0.01068994462411255,261
0.15,9,zero,0.81137216678334,0.8827097054113054,0.7040695877102813,0.7637830976988611,5.620793504932771,0.022801977608885082,0.019552480772671126,478
0.2,0,zero,0.7982304097877273,0.894764327677357,0.7058319464296868,0.7301360706211609,5.616916464319046,0.02256278470158577,0.02376218737785048,406
0.2,1,zero,0.8209540943645287,0.8999270553426386,0.705567592621776,0.6723272826412474,5.610834993105695,0.02518828489950725,0.03059745433097951,499
0.2,2,zero,0.8012172305185008,0.8957354933664408,0.705459935491308,0.7128298380873738,5.6156390728491985,0.022973689543349402,0.02526475095648772,465
0.2,3,zero,0.8080408216918252,0.9009649265142371,0.7058319464296868,0.6905178286518742,5.613145418248833,0.025740198578153337,0.027936662164212644,489
0.2,4,zero,0.7988954113373126,0.9008764402114849,0.7058319464296868,0.74611743980801,5.619327015475605,0.020023650356701443,0.021145716767143205,385
0.2,5,zero,0.7856726522888111,0.8925338250313931,0.7058319464296868,0.7924195790082663,5.623352975187869,0.0203651134456907,0.01664297948068012,302
0.2,6,zero,0.7985185980944769,0.8932584327832064,0.7053913567498354,0.7383750388210266,5.618285256098594,0.023285307309457232,0.02231565304722401,387
0.2,7,zero,0.8144849001200775,0.893101059433296,0.7056361713632485,0.701634484323162,5.614152907451994,0.0249955700976508,0.026905529779373084,470
0.2,8,zero,0.7943505675199025,0.898605780957045,0.705459935491308,0.738142465131219,5.618123308063886,0.02185573120202337,0.022463757704289013,378
0.2,9,zero,0.8077026209402988,0.8965285871790757,0.7057438284937165,0.6985049113038755,5.613544738927146,0.025534818321466445,0.027524435946146307,476
0.3,0,zero,0.8185390716003144,0.9170947051512217,0.7058319464296868,0.591509747987888,5.59714799502771,0.026967783165829522,0.04521790148598684,491
0.3,1,zero,0.8206224523340822,0.9174809183715371,0.7058319464296868,0.5833139305384502,5.596254609385186,0.02705953706588064,0.04628298399219991,499
0.3,2,zero,0.8019547028896904,0.9121153152550201,0.7058319464296868,0.6498908520698461,5.6067903088193995,0.024773211032152177,0.03485470470942686,410
0.3,3,zero,0.8124387480140933,0.9214653222834719,0.7058319464296868,0.5922589924566081,5.598613032509496,0.028165384914193833,0.04371970573749785,489
0.3,4,zero,0.7847726436215454,0.9185566591147808,0.7058319464296868,0.6617229508476011,5.608863969726516,0.02271237735237394,0.03264370496419909,385
0.3,5,zero,0.8261632492143218,0.9183596214123766,0.7058319464296868,0.5923289465738159,5.59878783923652,0.02755745000072888,0.043615873293150684,486
0.3,6,zero,0.8055058707573509,0.9164952860389417,0.7058124072351891,0.6011015688892102,5.599574850346782,0.02809463845832007,0.042701267178134876,469
0.3,7,zero,0.8184167673829159,0.9131684687899116,0.7058319464296868,0.6100140526350859,5.600594513145942,0.02776041296975953,0.04157956159007767,470
0.3,8,zero,0.7587456025263354,0.9180471241752426,0.7058124072351891,0.7507522948130502,5.618599660331678,0.02022199992622648,0.02186364512445075,261
0.3,9,zero,0.8041252885166292,0.9155105907714972,0.7058319464296868,0.605290136135536,5.599459934592924,0.028301252318280085,0.04275251841919318,476
0.5,0,zero,0.808902816562602,0.9380261720975736,0.7058319464296868,0.5181835683209367,5.57989098220764,0.0272995086652892,0.06331873217458849,437
0.5,1,zero,0.8100273986226042,0.9393031756061511,0.7058319464296868,0.5109160899898797,5.578478802878795,0.026913424900599888,0.0649078847155661,439
0.5,2,zero,0.8025576729511241,0.936095857721198,0.7058319464296868,0.5461026563592865,5.586893336506769,0.025618936866521835,0.05610312850001132,410
0.5,3,zero,0.8147413421088064,0.944413513995674,0.7058319464296868,0.480191829700545,5.573131457083621,0.028903127993856158,0.07047464435388914,489
0.5,4,zero,0.7990508881881566,0.9431574396033544,0.7058319464296868,0.5061308217700915,5.579520374089277,0.02574305608868599,0.06399767866029377,453
0.5,5,zero,0.8234305593944629,0.9426174487567341,0.7058319464296868,0.4829337592522731,5.574252925004114,0.02865801751613617,0.06941876785237167,482
0.5,6,zero,0.809261073614286,0.9415212052872568,0.7058319464296868,0.4748538303938225,5.571158086031941,0.02964798946465765,0.07244363747929576,495
0.5,7,zero,0.8208938028808104,0.9381673275316041,0.7058319464296868,0.4855197369754595,5.5729351895579065,0.029295046095337188,0.07053271620792795,495
0.5,8,zero,0.7875801194098295,0.9410036591655453,0.7058319464296868,0.5839426506515815,5.593401774674141,0.02451037136571748,0.04927036226341152,349
0.5,9,zero,0.8229870301266716,0.9404560561086869,0.7058319464296868,0.48098384870016286,5.571518286383624,0.02994804989014353,0.07201807029178797,496
0.7,0,zero,0.8119407438528644,0.9536369616017769,0.7058319464296868,0.4273928354761444,5.553345090937529,0.027330249973705836,0.090269360214056,477
0.7,1,zero,0.8103797829212328,0.9551343729637164,0.7058319464296868,0.4216762392047575,5.551607273932288,0.026498322721038546,0.09216669410836469,477
0.7,2,zero,0.8072691645638246,0.9516995810272562,0.7058319464296868,0.4387849556837628,5.558092136825564,0.026707032110009875,0.08560996113886277,474
0.7,3,zero,0.8094979358280747,0.9580778762466174,0.7058319464296868,0.4168217442362142,5.552258577616118,0.027890567002551898,0.0916146151854797,489
0.7,4,zero,0.7926556545748902,0.9569046426174872,0.7058319464296868,0.41638214970101756,5.552630840966872,0.026389697406973157,0.09131844457643912,493
0.7,5,zero,0.8259570299746897,0.9562165063540898,0.7058319464296868,0.42071212603689456,5.55387545904007,0.027194146066904068,0.09005411042484368,486
0.7,6,zero,0.8013598551180025,0.95469718410248,0.7058319464296868,0.43288060254915706,5.555966585850387,0.028326375569616046,0.08786117460390011,469
0.7,7,zero,0.8190703849131076,0.9523854380240905,0.7058319464296868,0.4378860794431141,5.556918209718177,0.027977138012647628,0.08682485567429996,470
0.7,8,zero,0.80819236204194,0.9563758413173529,0.7058319464296868,0.4125356584683556,5.549160825489903,0.027418696614248412,0.09450282959837931,495
0.7,9,zero,0.8247209739052337,0.9549033576495368,0.7058319464296868,0.41722869801361034,5.550247406666067,0.029344285066638675,0.09344160838824694,496
1.0,0,zero,0.8160499578473581,0.9674082283695168,0.7058319464296868,0.36837173840132653,5.528324183613973,0.025665104921375,0.11473122027693455,484
1.0,1,zero,0.8117362445418925,0.967906170004873,0.7058319464296868,0.3702064462957487,5.528123037072737,0.02448723465204239,0.11506155937348934,477
1.0,2,zero,0.7965543657247035,0.9640631264001032,0.7058319464296868,0.43533220714509246,5.552212736721895,0.023766299869332996,0.09181740286821206,410
1.0,3,zero,0.7958063649947569,0.9697807037050896,0.7058319464296868,0.39783481364207074,5.540419285538181,0.024956657897148814,0.10356506711147931,443
1.0,4,zero,0.8173344119750604,0.9697497187411998,0.7058319464296868,0.3603608085349089,5.527802593453705,0.024336723663977215,0.11557875747040608,496
1.0,5,zero,0.8272091420018559,0.9695444005532202,0.7058319464296868,0.3582132150928771,5.526750967740309,0.02534965883408274,0.11650207672286501,496
1.0,6,zero,0.8044010310217096,0.9681487791360822,0.7058319464296868,0.358801565305443,5.525401071443603,0.02687292556677546,0.1175824514058108,495
1.0,7,zero,0.8087434071589789,0.9665099595919794,0.7058319464296868,0.3685956047853851,5.528525262747196,0.025905697207365717,0.11456748929512708,490
1.0,8,zero,0.7872842177039934,0.9679638505643764,0.7058319464296868,0.48493084519348606,5.565434674100438,0.022010184398719244,0.07883650059955633,349
1.0,9,zero,0.8181298506116192,0.9679334645301049,0.7058319464296868,0.3664493513358786,5.527088379037134,0.026466038078069687,0.11598011958053958,490
