lam,seed,r2,rho_pearson,rho_spearman,kl,entropia,tv,hoyer,best_epoch
0.0,0,0.7875310251870171,0.9984278295461861,0.706457400922884,0.009133853263850045,5.23892519441441,0.019069632994277136,0.32226801446989706,425
0.0,1,0.778868286270757,0.9990245508400439,0.706457400922884,0.0069344777907126755,5.221690055597138,0.017910018456833703,0.33100743211306743,319
0.0,2,0.7692565227601962,0.9992332687101916,0.706457400922884,0.005580489963523333,5.2074228924620325,0.017115687632134984,0.337791076457366,297
0.0,3,0.7959704248247016,0.9984959059473066,0.706457400922884,0.0089003814553809,5.237227178149743,0.01900549807718822,0.3231285854856255,426
0.0,4,0.7550608965440826,0.9992896066552801,0.706457400922884,0.005225422408320575,5.203815733388799,0.017147338124258178,0.3395841514474502,246
0.0,5,0.8089987889823917,0.998051418429563,0.706457400922884,0.010512792287086034,5.249156762872415,0.019368672211255347,0.3170600968362625,489
0.0,6,0.7974893811004546,0.9987270484956292,0.706457400922884,0.008222728296688105,5.232655419086721,0.01796612324459212,0.32554584925307956,394
0.0,7,0.8065702543645635,0.9982342849369581,0.706457400922884,0.009902009690335865,5.244396846354224,0.01955068084810461,0.3194342935387646,472
0.0,8,0.7620443726992998,0.9991607016381469,0.706457400922884,0.00600387938651096,5.211642395585365,0.018136385029980114,0.33575199764090086,290
0.0,9,0.8021367893670996,0.9984886907830061,0.706457400922884,0.008551859426017437,5.234538870742835,0.01911364368030003,0.3246176252884057,416
0.0001,0,0.7873301223025382,0.9984271903346141,0.706457400922884,0.009137167314483077,5.238949748819451,0.019065465405583383,0.32225507559730143,425
0.0001,1,0.7783925363974273,0.9990287805504022,0.706457400922884,0.006923232411115034,5.22158805512627,0.01790509516639369,0.3310561837169818,319
0.0001,2,0.7695207194641627,0.9992329535315012,0.706457400922884,0.005575808196843818,5.207364727795726,0.01711928051497255,0.3378187818563138,297
0.0001,3,0.8040066933056828,0.9981855554877288,0.706457400922884,0.010100786542276507,5.246102934413377,0.019299227744340897,0.31858555576040637,482
0.0001,4,0.7560890030856127,0.9992936315807123,0.706457400922884,0.005216998061022041,5.203747610911675,0.017119748411434037,0.33961756561415163,246
0.0001,5,0.8089764837267547,0.9980604497955053,0.706457400922884,0.010501239010303084,5.249102761571303,0.0193531655307327,0.31708806238782955,489
0.0001,6,0.8084281793981327,0.9982728868275373,0.706457400922884,0.010110309162991564,5.24701280744297,0.018594155992780415,0.3182276577175752,480
0.0001,7,0.7990571292015792,0.9987545736225165,0.706457400922884,0.007794066308372532,5.2281461940554035,0.018911456210272654,0.3276965641548943,381
0.0001,8,0.7617227931312891,0.9991603009794712,0.706457400922884,0.006003229086015059,5.2116341842784335,0.018134961862649235,0.3357563320441415,290
0.0001,9,0.8059813931883103,0.9982971845635282,0.706457400922884,0.0093162158940828,5.240554662619399,0.019240544736385347,0.32158664063210224,453
0.001,0,0.7888830230087076,0.9984323641694037,0.706457400922884,0.009153934687362846,5.239077554511758,0.019125282604779515,0.32218419943622406,425
0.001,1,0.7784579033493464,0.9990286233068273,0.706457400922884,0.006922044697772734,5.221572225368236,0.01790701209434441,0.3310635435736392,319
0.001,2,0.7737047620761041,0.9992569310496475,0.706457400922884,0.0054475917521503965,5.20601968670852,0.01705260377909456,0.3384642581795744,291
0.001,3,0.8019917352493493,0.9982085942903997,0.706457400922884,0.01002718599134981,5.245664411225801,0.019246648624539377,0.31882330165602496,479
0.001,4,0.7543915308126576,0.9992841042146676,0.706457400922884,0.005244243486649089,5.203998871529475,0.01715365637625967,0.33949466413921847,246
0.001,5,0.8032139576789393,0.9980469247691621,0.706457400922884,0.010536843317068303,5.249337418580025,0.019222559886319296,0.3169682971602903,489
0.001,6,0.8109714078042135,0.9982292815382687,0.706457400922884,0.010322122001704542,5.248538581492058,0.018662498359169277,0.317434046257486,491
0.001,7,0.7955393946386198,0.9988126094038222,0.706457400922884,0.007519769422901412,5.225797913621629,0.018879498434918266,0.3288706908210509,368
