n_actual,p,q,rho_lit,rho_lit_sd,jaccard_lit,k_lit,rho_rand,rho_rand_sd,jaccard_rand,k_rand
30,281,29,0.9999851151489059,2.2319657024829488e-05,0.9599999999999997,10,0.03508494496968124,0.058116626404265334,0.11205033066774815,10
60,281,29,0.9999799122682068,4.270090356159613e-05,0.9555555555555554,10,0.024792504702423168,0.10090549876957391,0.0898220532130658,10
100,281,29,0.9999749719086177,3.056822203007319e-05,0.9688888888888888,10,0.068409190501959,0.11925251245475472,0.16625774116437728,10
200,281,29,0.9998317909702706,3.799786330610002e-05,0.9866666666666665,10,0.19179010346498118,0.06783399379897065,0.3068032704435202,10
400,281,29,0.999646359543459,0.00012026903407579577,0.9762962962962962,10,0.19041277843284618,0.051796051912653414,0.4327819896401161,10
700,281,29,0.9994705601394258,0.00014110758257904535,0.945185185185185,10,0.23763514933818422,0.04482451855189476,0.3854882275733396,10
1158,281,29,0.9987133305982312,0.00044051442679408074,0.9496296296296294,10,0.2798364453763763,0.021593118308965275,0.5657638544595176,10
