lam,init,k,r2_media,r2_sd,rho_pearson_media,rho_pearson_sd,rho_spearman_media,rho_spearman_sd,kl_media,kl_sd,entropia_media,entropia_sd,tv_media,tv_sd,hoyer_media,hoyer_sd,best_epoch_media,best_epoch_sd,jaccard
0.0,zero,10,0.7912740332696835,0.015992723472847616,0.2798364453763763,0.021593118308965275,0.25523122618485583,0.024972636961831125,1.1521504849155337,0.0024405459643739077,5.637957070129761,4.2331963013087526e-05,0.007035001324755805,0.00048308997928793186,0.0004249084074748722,4.556352535807738e-05,419.4,84.03464893853143,0.5657638544595176
0.0001,zero,10,0.787202987152447,0.017861701218644103,0.2805416580781467,0.030512621800306387,0.256125546610662,0.027405802064272795,1.1522396649282893,0.003344921456668398,5.63796691899591,4.840074274178392e-05,0.006979197061487606,0.0004366186455213474,0.00041428964616530066,5.1740217624769465e-05,399.4,89.28506158491588,0.5602713360567824
0.001,zero,10,0.785903716526611,0.013871623186131462,0.3186432810163754,0.030900233676638172,0.30078617249609524,0.026340683529177494,1.1487755613487423,0.003131467813978911,5.637950225723499,4.8626020850893154e-05,0.00697545690195901,0.000556982580728406,0.0004320916945736681,5.204962092120801e-05,390.5,76.31404414217171,0.567038278840237
0.01,zero,10,0.7949415541019361,0.012060306539044576,0.6146512566338486,0.02084278050896668,0.5380374279457675,0.015233863674299563,1.1101388783825932,0.0042963986322610125,5.637662844479844,6.993357933982032e-05,0.0078119236550160814,0.00045316140115039675,0.000739348425020737,7.505406295305437e-05,420.8,58.749562646126236,0.5996467828356373
0.1,zero,10,0.7975439314856063,0.01461593177669728,0.8634171976622091,0.004249172216948237,0.6965455036549477,0.001792211639915331,0.869661672915149,0.02952516482207188,5.629194512099168,0.0018981650938831082,0.017446928481970516,0.0018832039250446903,0.010186004447762123,0.0021440441035207747,408.0,75.61158053572952,0.8424001878366204
1.0,zero,10,0.8083248993581928,0.012287202701836003,0.9679008401596546,0.001719991232521315,0.7058319464296867,1.1702778228589004e-16,0.3869096595732217,0.04185600711821684,5.535008219146917,0.013582175448311471,0.024981652508888928,0.0014222212864542871,0.10842226447044204,0.01313945341248524,463.0,48.87853425698352,0.9866666666666665
10.0,zero,10,0.7900075404835661,0.009334304047814372,0.9974362405098901,0.00042365404229294603,0.7058319464296867,1.1702778228589004e-16,0.30300545580994404,0.055466354909293206,5.456063585745151,0.036253308935186294,0.010220942135368075,0.0007389750344595637,0.1799329478603107,0.029879203982454854,426.0,58.568099014926396,0.9734289127837513
