lam,seed,init,r2,rho_pearson,rho_spearman,kl,entropia,tv,hoyer,best_epoch
0.0,0,zero,0.780979627933242,0.2888664802397489,0.24499084928501935,1.15112719674999,5.637950942913372,0.00742206552198955,0.00043097033369805094,406
0.0,1,zero,0.7755787069031873,0.25749270508384514,0.2117841797968109,1.154431324809446,5.6380526575584256,0.006001474814755576,0.00032232153636498333,294
0.0,2,zero,0.7992597622685637,0.28023112899364794,0.275103046734828,1.1533321939399803,5.637932389955397,0.006710071435996464,0.0004523612589264838,465
0.0,3,zero,0.8038799658450337,0.28916835749565173,0.27115268135313436,1.1502660058820828,5.637920494529707,0.007623875673328127,0.0004636720370421925,497
0.0,4,zero,0.7811529011734782,0.27824627765431476,0.2671613219751415,1.1535268821366502,5.637981486900797,0.00664561539888382,0.0003987184072962603,341
0.0,5,zero,0.8152903500685922,0.3099891039924416,0.2799629424643193,1.1510556383358999,5.637966272440813,0.0071772545576095585,0.00041494116397376534,486
0.0,6,zero,0.7963295399553447,0.26272507488986147,0.25079705502253924,1.1521452104997016,5.637902114328986,0.0075039446353912355,0.0004843999996638894,492
0.0,7,zero,0.79755281268079,0.273093626876439,0.25195369871251433,1.1514835059722153,5.6379365362452,0.006948172194617135,0.0004470040227940731,456
0.0,8,zero,0.7615333342019881,0.2455287337355102,0.217097308214358,1.1564762695189181,5.637983784702326,0.007151930353471211,0.000395666273851153,281
0.0,9,zero,0.8011833316666148,0.3130229648023023,0.28230917828989316,1.1476606213104545,5.63794402172259,0.007165608661515372,0.0004390290411378708,476
0.0001,0,zero,0.805284792895629,0.3218209961062643,0.2794610533507494,1.1481266872834899,5.637901832585241,0.0076122678816318515,0.0004840510040992377,484
0.0001,1,zero,0.7717103691908949,0.26639353995445025,0.2227970061857921,1.153773724313738,5.638044556996054,0.006165856335844312,0.00033102054250319657,294
0.0001,2,zero,0.7632544126483498,0.24382246387819567,0.23299914756384663,1.1573026889753022,5.638043261625135,0.0063784477966172355,0.0003332699115087983,294
0.0001,3,zero,0.799874468143167,0.29935069468327974,0.28412594025672383,1.1498828907350924,5.637924588859296,0.007410783214228494,0.00045934427898850546,488
0.0001,4,zero,0.782534562838647,0.2829316875579281,0.27143197689801407,1.1529080298633505,5.637975674503036,0.006822834270341056,0.00040500937525369136,344
0.0001,5,zero,0.8108888996679838,0.30943613341278686,0.2829953488260791,1.1511899689820855,5.637960000386619,0.007170780003070832,0.0004216600233615565,490
0.0001,6,zero,0.7863113230485818,0.2361228722008039,0.2268335738961523,1.1547381005294637,5.637958707099395,0.007076444370406014,0.00042344052922400183,387
0.0001,7,zero,0.7924260547175788,0.29300567083039736,0.2650633488561274,1.1506493025407296,5.637929814930735,0.006944648921489716,0.000453852693456869,456
0.0001,8,zero,0.7592336305900251,0.24653910523189393,0.21817809385510648,1.1563681898939222,5.63799389243,0.007067397556134633,0.0003847536571156448,281
0.0001,9,zero,0.8005113577836126,0.30599341692546644,0.2773699764180287,1.1474570661657186,5.63793686054359,0.007142510265111923,0.00044649444614150517,476
0.001,0,zero,0.7973453955257783,0.3625986984731039,0.3192233141536859,1.1442817427929322,5.637887487773365,0.007536678335496358,0.0004992552851919341,484
0.001,1,zero,0.7737757579822045,0.32708276383006607,0.292756173864833,1.1496879130264657,5.638033358282517,0.00603736298424857,0.00034290728803923205,294
